,Quality Momentum Univ Part I 4bn MktCap / 100k Liq,,,,,,,,,
,28/01/2026,,,,,,,,,
,,,,,,,,,,
,#,Ticker,Name,Last,MktCap,SectorCode,SubSectorCode,IndCode,EarnYield,FCFYield
,39,ACOG:USA,"Alpha Cognition, Inc.",5.89,95.8,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-23.18,-16.83
,40,ACON:USA,"Aclarion, Inc.",3.64,2.12,HEALTHCARE,HCARESVCE,HCARESUPPORT,"-44,036.73",-314.15
,41,ACR:USA,ACRES Commercial Realty Corp.,19.37,142.96,FINANCIAL,REALESTATE,REIT,4.95,-1.1
,42,ACRE:USA,Ares Commercial Real Estate Corp.,4.91,270.16,FINANCIAL,REALESTATE,REIT,-2.97,8.69
,43,ACRS:USA,"Aclaris Therapeutics, Inc.",3.87,419.29,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-35.7,-16.78
,44,ACRV:USA,"Acrivon Therapeutics, Inc.",1.98,62.47,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-107.54,-89.15
,45,ACTG:USA,Acacia Research Corp.,3.93,298.36,TECH,HW,COMPUTER,1.26,7.43
,46,ACTU:USA,"Actuate Therapeutics, Inc.",5.45,126.68,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-22.19,-17.36
,47,ACU:USA,Acme United Corp.,41.5,157.98,HEALTHCARE,HCARESVCE,HCARESUPPORT,5.86,2.89
,48,ACVA:USA,"ACV Auctions, Inc.",8.35,"1,437.63",TECH,SOFTWTECH,INTERNET,-5.16,3.2
,49,ACXP:USA,"Acurx Pharmaceuticals, Inc.",2.68,4.82,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-318.09,-180.24
,50,AD:USA,"Array Digital Infrastructure, Inc.",46.93,"4,053.81",TELECOM,TELECOMSS,TELECOMWIRE,6.23,8.86
,51,ADAM:USA,"Adamas Trust, Inc.",8.41,759.49,FINANCIAL,REALESTATE,REIT,2.25,11.43
,52,ADCT:USA,ADC Therapeutics SA,3.59,404.33,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-40.38,-27.91
,53,ADEA:USA,"Adeia, Inc.",18.42,"2,016.42",CONSUMERSVCE,MEDIAPUBSS,MEDIAPUB,3.52,8.93
,54,ADGM:USA,"Adagio Medical Holdings, Inc.",1,15.38,HEALTHCARE,HCAREEQUIP,MEDDEVICESGEN,-528.35,-153.13
,55,ADIL:USA,"Adial Pharmaceuticals, Inc.",0.23,5.43,HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,-406.45,-131.11
,56,ADMA:USA,"ADMA Biologics, Inc.",16.58,"3,951.55",HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,5.14,1
,57,ADNT:USA,Adient Plc,22.23,"1,759.54",CYCLICALS,VEHICLESS,VEHICLE,-15.01,11.29
,58,ADPT:USA,Adaptive Biotechnologies Corp.,19.23,"2,934.13",HEALTHCARE,HCAREEQUIP,HCAREDIAGNOSTICS,-2.8,-2.01
,59,ADSE:USA,ADS-TEC Energy Plc,12.29,686.1,INDUSTRIAL,INDMFR,ELECTREQUIP,-11.33,-7.33
,60,ADTN:USA,"ADTRAN Holdings, Inc.",9.58,764.78,TECH,HW,COMMEQUIP,-11.33,3.67
,61,ADTX:USA,"Aditxt, Inc.",0.97,0.05,HEALTHCARE,HCAREEQUIP,HCAREDIAGNOSTICS,"-662,304.80","-53,268.26"
,62,ADUR:USA,"Aduro Clean Technologies, Inc.",14.36,451.1,BIZSVCE,BIZSVCESS,PROSVCE,-3.19,-2.4
,63,ADUS:USA,Addus HomeCare Corp.,107.01,"1,977.87",HEALTHCARE,HCARESVCE,PATIENTCARE,4.37,4.9
,64,ADV:USA,"Advantage Solutions, Inc. (California)",0.97,315.47,BIZSVCE,BIZSVCESS,MKTINGPRINTING,-78.72,-2.76
,65,AEAQ:USA,Activate Energy Acquisition Corp.,9.92,270.34,FINANCIAL,INVESTSVCESS,INVESTSVCE,N/A,N/A
,66,AEBI:USA,Aebi Schmidt Holding AG,13.99,"1,076.91",INDUSTRIAL,INDMFR,TRANSPORTEQUIP,N/A,N/A
,67,AEC:USA,"Anfield Energy, Inc.",9.21,144.21,ENERGY,UPSTREAMENERGY,COAL,-7.72,-7.87
,68,AEHR:USA,Aehr Test Systems,27.75,849.82,TECH,ELECTRONIC,SEMIEQUIPSVCE,-1.06,-1.4
,69,AEMD:USA,"Aethlon Medical, Inc.",2.8,2.13,HEALTHCARE,HCAREEQUIP,MEDDEVICESGEN,"-1,908.42",-634.04
,70,AENT:USA,Alliance Entertainment Holding Corp.,7.53,383.71,CYCLICALS,CONSUMERRETAIL,ELECTRONICSENTRETAIL,5.1,10.62
,71,AEO:USA,"American Eagle Outfitters, Inc.",23.44,"3,973.36",CYCLICALS,CONSUMERRETAIL,APPARELRETAIL,4.94,3.87
,72,AEON:USA,"AEON Biopharma, Inc.",1.2,13.97,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,420.21,-94.69
,73,AESI:USA,"Atlas Energy Solutions, Inc.",11.61,"1,436.05",ENERGY,UPSTREAMENERGY,OILGASSUPPORT,-0.84,-1.28
,74,AEVA:USA,"Aeva Technologies, Inc.",14.35,861.12,TECH,HW,CONSUMERELECTRONICS,-37.11,-13.58
,75,AEXA:USA,American Exceptionalism Acquisition Corp. A,11.83,585.12,FINANCIAL,INVESTSVCESS,INVESTSVCE,N/A,N/A
,76,AEYE:USA,"AudioEye, Inc.",9.48,117.68,TECH,SOFTWTECH,SOFTW,-3.01,0.7
,77,AFCG:USA,"Advanced Flower Capital, Inc.",2.52,56.94,FINANCIAL,REALESTATE,REIT,-41.23,25.15
,78,AFJK:USA,"Aimei Health Technology Co., Ltd.",53.26,326.04,FINANCIAL,INVESTSVCESS,INVESTSVCE,0.38,-0.22
,79,AFRI:USA,Forafric Global Plc,10.06,270.5,NONCYCLICAL,FOODPRODUCTION,FOODDRINKMFR,-8.3,-1.15
,80,AFYA:USA,Afya Ltd.,14.87,"1,348.68",NONCYCLICAL,HOUSESVCESS,HOUSESVCE,9.49,10.26
,81,AGAE:USA,"Allied Gaming & Entertainment, Inc.",0.33,12.44,CONSUMERSVCE,HOSPITALITYSS,HOSPITALITY,-167.91,-17.87
,82,AGCC:USA,Agencia Comercial Spirits Ltd.,9.64,328.86,NONCYCLICAL,STAPLESRETAIL,FOODDRINKRETAIL,0.23,0.15
,83,AGEN:USA,"Agenus, Inc.",3.19,104.68,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-66.69,-85.2
,84,AGH:USA,"Aureus Greenway Holdings, Inc.",2.72,39.74,CONSUMERSVCE,HOSPITALITYSS,HOSPITALITY,-7.05,-6.04
